Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,29-09-1975,tot:,25-04-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B26H0179,002,26HP0059,178520,476200,2259,12-09-1975,12-09-1975,25-04-2017,2318,59,1059,859


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B26H0179,002,29-09-1975,194,135,2124,,,,,,
B26H0179,002,28-10-1975,168,109,2150,,,,,,
B26H0179,002,14-07-1976,204,145,2114,,,,,,
B26H0179,002,28-07-1976,199,140,2119,,,,,,
B26H0179,002,13-08-1976,211,152,2107,,,,,,
B26H0179,002,27-08-1976,220,161,2098,,,,,,
B26H0179,002,14-09-1976,216,157,2102,,,,,,
B26H0179,002,28-09-1976,222,163,2096,,,,,,
B26H0179,002,14-10-1976,205,146,2113,,,,,,
B26H0179,002,28-10-1976,208,149,2110,,,,,,
B26H0179,002,15-11-1976,198,139,2120,,,,,,
B26H0179,002,29-11-1976,204,145,2114,,,,,,
B26H0179,002,14-12-1976,153,94,2165,,,,,,
B26H0179,002,28-12-1976,146,87,2172,,,,,,
B26H0179,002,14-01-1977,119,60,2199,,,,,,
B26H0179,002,28-01-1977,88,29,2230,,,,,,
B26H0179,002,14-02-1977,90,31,2228,,,,,,
B26H0179,002,28-02-1977,90,31,2228,,,,,,
B26H0179,002,14-03-1977,108,49,2210,,,,,,
B26H0179,002,28-03-1977,90,31,2228,,,,,,
B26H0179,002,14-04-1977,85,26,2233,,,,,,
B26H0179,002,14-07-1977,181,122,2137,,,,,,
B26H0179,002,28-07-1977,175,116,2143,,,,,,
B26H0179,002,15-08-1977,169,110,2149,,,,,,
B26H0179,002,29-08-1977,124,65,2194,,,,,,
B26H0179,002,14-09-1977,163,104,2155,,,,,,
B26H0179,002,28-09-1977,178,119,2140,,,,,,
B26H0179,002,14-10-1977,181,122,2137,,,,,,
B26H0179,002,28-10-1977,155,96,2163,,,,,,
B26H0179,002,14-11-1977,90,31,2228,,,,,,
B26H0179,002,28-11-1977,92,33,2226,,,,,,
B26H0179,002,12-01-1978,80,21,2238,,,,,,
B26H0179,002,27-01-1978,85,26,2233,,,,,,
B26H0179,002,14-02-1978,101,42,2217,,,,,,
B26H0179,002,28-02-1978,94,35,2224,,,,,,
B26H0179,002,14-03-1978,92,33,2226,,,,,,
B26H0179,002,28-03-1978,82,23,2236,,,,,,
B26H0179,002,14-04-1978,95,36,2223,,,,,,
B26H0179,002,02-05-1978,112,53,2206,,,,,,
B26H0179,002,16-05-1978,116,57,2202,,,,,,
B26H0179,002,29-05-1978,147,88,2171,,,,,,
B26H0179,002,14-06-1978,170,111,2148,,,,,,
B26H0179,002,28-06-1978,165,106,2153,,,,,,
B26H0179,002,14-07-1978,139,80,2179,,,,,,
B26H0179,002,28-07-1978,170,111,2148,,,,,,
B26H0179,002,15-08-1978,173,114,2145,,,,,,
B26H0179,002,28-08-1978,193,134,2125,,,,,,
B26H0179,002,14-09-1978,177,118,2141,,,,,,
B26H0179,002,28-09-1978,146,87,2172,,,,,,
