Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-04-1980,tot:,24-10-2012,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32F0090,003,32FP0090,172460,471810,2356,11-01-1980,11-01-1980,01-02-1998,2392,36,-3344,-3544
B32F0090,003,32FP0090,172460,471810,2356,11-01-1980,01-02-1998,24-10-2012,2397,41,-3344,-3544


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32F0090,003,14-04-1980,844,808,1548,,,,,,
B32F0090,003,28-04-1980,855,819,1537,,,,,,
B32F0090,003,14-05-1980,841,805,1551,,,,,,
B32F0090,003,28-05-1980,840,804,1552,,,,,,
B32F0090,003,13-06-1980,839,803,1553,,,,,,
B32F0090,003,27-06-1980,840,804,1552,,,,,,
B32F0090,003,14-07-1980,841,805,1551,,,,,,
B32F0090,003,28-07-1980,846,810,1546,,,,,,
B32F0090,003,14-08-1980,848,812,1544,,,,,,
B32F0090,003,28-08-1980,849,813,1543,,,,,,
B32F0090,003,15-09-1980,851,815,1541,,,,,,
B32F0090,003,29-09-1980,852,816,1540,,,,,,
B32F0090,003,14-10-1980,854,818,1538,,,,,,
B32F0090,003,28-10-1980,854,818,1538,,,,,,
B32F0090,003,14-11-1980,860,824,1532,,,,,,
B32F0090,003,28-11-1980,858,822,1534,,,,,,
B32F0090,003,15-12-1980,865,829,1527,,,,,,
B32F0090,003,29-12-1980,866,830,1526,,,,,,
B32F0090,003,14-01-1981,884,848,1508,,,,,,
B32F0090,003,28-01-1981,861,825,1531,,,,,,
B32F0090,003,13-02-1981,848,812,1544,,,,,,
B32F0090,003,27-02-1981,837,801,1555,,,,,,
B32F0090,003,13-03-1981,833,797,1559,,,,,,
B32F0090,003,27-03-1981,830,794,1562,,,,,,
B32F0090,003,14-04-1981,832,796,1560,,,,,,
