Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,06-04-1973,tot:,27-12-1990,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0058,004,32EP0067,166290,472130,429,01-01-1971,01-01-1971,06-04-1973,483,54,-14570,-14770
B32E0058,004,32EP0067,166290,472130,429,01-01-1971,06-04-1973,14-01-1991,476,47,-14570,-14770


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0058,004,06-04-1973,-87,-134,563,,,,,,
B32E0058,004,19-04-1973,-88,-135,564,,,,,,
B32E0058,004,07-05-1973,-87,-134,563,,,,,,
B32E0058,004,21-05-1973,-82,-129,558,,,,,,
B32E0058,004,01-06-1973,-77,-124,553,,,,,,
B32E0058,004,18-06-1973,-71,-118,547,,,,,,
B32E0058,004,03-07-1973,-55,-102,531,,,,,,
B32E0058,004,17-07-1973,-55,-102,531,,,,,,
B32E0058,004,01-08-1973,-64,-111,540,,,,,,
B32E0058,004,15-08-1973,-48,-95,524,,,,,,
B32E0058,004,03-09-1973,-52,-99,528,,,,,,
B32E0058,004,17-09-1973,-39,-86,515,,,,,,
B32E0058,004,03-10-1973,-48,-95,524,,,,,,
B32E0058,004,16-10-1973,-59,-106,535,,,,,,
B32E0058,004,02-11-1973,-66,-113,542,,,,,,
B32E0058,004,19-11-1973,-73,-120,549,,,,,,
B32E0058,004,02-01-1974,,,,D,,,,,
B32E0058,004,17-01-1974,,,,D,,,,,
B32E0058,004,01-02-1974,-95,-142,571,,,,,,
B32E0058,004,15-02-1974,-90,-137,566,,,,,,
B32E0058,004,01-03-1974,,,,D,,,,,
B32E0058,004,18-03-1974,-108,-155,584,,,,,,
B32E0058,004,01-04-1974,-106,-153,582,,,,,,
