Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-04-1980,tot:,08-04-2013,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32F0094,001,32FP0094,173200,471950,2645,31-01-1980,14-04-1980,01-02-1998,2698,53,1145,945
B32F0094,001,32FP0094,173200,471950,2645,31-01-1980,01-02-1998,08-04-2013,2703,58,1145,945


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32F0094,001,14-04-1980,1038,985,1660,,,,,,
B32F0094,001,28-04-1980,1027,974,1671,,,,,,
B32F0094,001,14-05-1980,1034,981,1664,,,,,,
B32F0094,001,28-05-1980,1031,978,1667,,,,,,
B32F0094,001,13-06-1980,1030,977,1668,,,,,,
B32F0094,001,27-06-1980,1030,977,1668,,,,,,
B32F0094,001,14-07-1980,1030,977,1668,,,,,,
B32F0094,001,28-07-1980,1032,979,1666,,,,,,
B32F0094,001,14-08-1980,1033,980,1665,,,,,,
B32F0094,001,28-08-1980,1034,981,1664,,,,,,
B32F0094,001,15-09-1980,1036,983,1662,,,,,,
B32F0094,001,29-09-1980,1038,985,1660,,,,,,
B32F0094,001,14-10-1980,1040,987,1658,,,,,,
B32F0094,001,28-10-1980,1041,988,1657,,,,,,
B32F0094,001,14-11-1980,1047,994,1651,,,,,,
B32F0094,001,28-11-1980,1046,993,1652,,,,,,
B32F0094,001,15-12-1980,1048,995,1650,,,,,,
B32F0094,001,29-12-1980,1051,998,1647,,,,,,
B32F0094,001,14-01-1981,1050,997,1648,,,,,,
B32F0094,001,28-01-1981,1047,994,1651,,,,,,
B32F0094,001,13-02-1981,1037,984,1661,,,,,,
B32F0094,001,27-02-1981,1030,977,1668,,,,,,
B32F0094,001,13-03-1981,1025,972,1673,,,,,,
B32F0094,001,27-03-1981,1019,966,1679,,,,,,
B32F0094,001,14-04-1981,1005,952,1693,,,,,,
B32F0094,001,28-04-1981,995,942,1703,,,,,,
B32F0094,001,14-05-1981,990,937,1708,,,,,,
B32F0094,001,27-05-1981,986,933,1712,,,,,,
B32F0094,001,15-06-1981,985,932,1713,,,,,,
B32F0094,001,29-06-1981,1002,949,1696,,,,,,
B32F0094,001,14-07-1981,981,928,1717,,,,,,
B32F0094,001,28-07-1981,983,930,1715,,,,,,
B32F0094,001,13-08-1981,993,940,1705,,,,,,
B32F0094,001,28-08-1981,998,945,1700,,,,,,
B32F0094,001,14-09-1981,991,938,1707,,,,,,
