Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-07-1976,tot:,31-10-2012,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B26H0182,002,26HP0182,178030,475480,2662,16-04-1974,16-04-1974,31-10-2012,2706,44,862,762


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B26H0182,002,14-07-1976,482,438,2224,,,,,,
B26H0182,002,28-07-1976,497,453,2209,,,,,,
B26H0182,002,13-08-1976,493,449,2213,,,,,,
B26H0182,002,27-08-1976,498,454,2208,,,,,,
B26H0182,002,14-09-1976,505,461,2201,,,,,,
B26H0182,002,28-09-1976,510,466,2196,,,,,,
B26H0182,002,14-10-1976,514,470,2192,,,,,,
B26H0182,002,28-10-1976,520,476,2186,,,,,,
B26H0182,002,15-11-1976,526,482,2180,,,,,,
B26H0182,002,29-11-1976,531,487,2175,,,,,,
B26H0182,002,14-12-1976,534,490,2172,,,,,,
B26H0182,002,28-12-1976,538,494,2168,,,,,,
B26H0182,002,14-01-1977,540,496,2166,,,,,,
B26H0182,002,28-01-1977,537,493,2169,,,,,,
B26H0182,002,14-02-1977,527,483,2179,,,,,,
B26H0182,002,28-02-1977,519,475,2187,,,,,,
B26H0182,002,14-03-1977,509,465,2197,,,,,,
B26H0182,002,28-03-1977,501,457,2205,,,,,,
B26H0182,002,14-04-1977,498,454,2208,,,,,,
B26H0182,002,14-07-1977,501,457,2205,,,,,,
B26H0182,002,28-07-1977,505,461,2201,,,,,,
B26H0182,002,15-08-1977,512,468,2194,,,,,,
B26H0182,002,29-08-1977,518,474,2188,,,,,,
B26H0182,002,14-09-1977,523,479,2183,,,,,,
B26H0182,002,28-09-1977,526,482,2180,,,,,,
B26H0182,002,14-10-1977,530,486,2176,,,,,,
B26H0182,002,28-10-1977,535,491,2171,,,,,,
B26H0182,002,14-11-1977,540,496,2166,,,,,,
B26H0182,002,28-11-1977,533,489,2173,,,,,,
B26H0182,002,12-01-1978,499,455,2207,,,,,,
B26H0182,002,27-01-1978,493,449,2213,,,,,,
B26H0182,002,14-02-1978,482,438,2224,,,,,,
B26H0182,002,28-02-1978,477,433,2229,,,,,,
B26H0182,002,14-03-1978,476,432,2230,,,,,,
B26H0182,002,28-03-1978,476,432,2230,,,,,,
B26H0182,002,14-04-1978,466,422,2240,,,,,,
B26H0182,002,02-05-1978,463,419,2243,,,,,,
B26H0182,002,16-05-1978,468,424,2238,,,,,,
B26H0182,002,29-05-1978,473,429,2233,,,,,,
B26H0182,002,14-06-1978,479,435,2227,,,,,,
B26H0182,002,28-06-1978,485,441,2221,,,,,,
B26H0182,002,14-07-1978,491,447,2215,,,,,,
B26H0182,002,28-07-1978,496,452,2210,,,,,,
B26H0182,002,15-08-1978,501,457,2205,,,,,,
B26H0182,002,28-08-1978,507,463,2199,,,,,,
B26H0182,002,14-09-1978,515,471,2191,,,,,,
B26H0182,002,28-09-1978,520,476,2186,,,,,,
B26H0182,002,13-10-1978,521,477,2185,,,,,,
B26H0182,002,27-10-1978,527,483,2179,,,,,,
B26H0182,002,14-11-1978,533,489,2173,,,,,,
B26H0182,002,28-11-1978,532,488,2174,,,,,,
B26H0182,002,14-12-1978,536,492,2170,,,,,,
B26H0182,002,28-12-1978,527,483,2179,,,,,,
B26H0182,002,15-01-1979,515,471,2191,,,,,,
B26H0182,002,29-01-1979,503,459,2203,,,,,,
B26H0182,002,28-02-1979,491,447,2215,,,,,,
B26H0182,002,14-03-1979,474,430,2232,,,,,,
B26H0182,002,28-03-1979,460,416,2246,,,,,,
B26H0182,002,12-04-1979,446,402,2260,,,,,,
B26H0182,002,27-04-1979,444,400,2262,,,,,,
B26H0182,002,14-05-1979,427,383,2279,,,,,,
B26H0182,002,28-05-1979,423,379,2283,,,,,,
B26H0182,002,14-06-1979,405,361,2301,,,,,,
B26H0182,002,28-06-1979,398,354,2308,,,,,,
B26H0182,002,13-07-1979,398,354,2308,,,,,,
B26H0182,002,27-07-1979,409,365,2297,,,,,,
B26H0182,002,14-08-1979,428,384,2278,,,,,,
B26H0182,002,28-08-1979,430,386,2276,,,,,,
B26H0182,002,14-09-1979,439,395,2267,,,,,,
B26H0182,002,28-09-1979,442,398,2264,,,,,,
B26H0182,002,15-10-1979,453,409,2253,,,,,,
B26H0182,002,29-10-1979,460,416,2246,,,,,,
B26H0182,002,14-11-1979,465,421,2241,,,,,,
B26H0182,002,28-11-1979,468,424,2238,,,,,,
B26H0182,002,14-12-1979,468,424,2238,,,,,,
B26H0182,002,27-12-1979,445,401,2261,,,,,,
B26H0182,002,14-01-1980,419,375,2287,,,,,,
B26H0182,002,28-01-1980,408,364,2298,,,,,,
B26H0182,002,14-02-1980,396,352,2310,,,,,,
B26H0182,002,28-02-1980,394,350,2312,,,,,,
B26H0182,002,14-03-1980,398,354,2308,,,,,,
B26H0182,002,28-03-1980,392,348,2314,,,,,,
B26H0182,002,14-04-1980,388,344,2318,,,,,,
B26H0182,002,28-04-1980,393,349,2313,,,,,,
B26H0182,002,14-05-1980,401,357,2305,,,,,,
B26H0182,002,28-05-1980,412,368,2294,,,,,,
B26H0182,002,13-06-1980,415,371,2291,,,,,,
B26H0182,002,27-06-1980,422,378,2284,,,,,,
B26H0182,002,14-07-1980,420,376,2286,,,,,,
B26H0182,002,28-07-1980,394,350,2312,,,,,,
B26H0182,002,14-08-1980,395,351,2311,,,,,,
B26H0182,002,28-08-1980,398,354,2308,,,,,,
B26H0182,002,15-09-1980,409,365,2297,,,,,,
B26H0182,002,29-09-1980,415,371,2291,,,,,,
B26H0182,002,14-10-1980,431,387,2275,,,,,,
B26H0182,002,28-10-1980,428,384,2278,,,,,,
B26H0182,002,14-11-1980,440,396,2266,,,,,,
B26H0182,002,28-11-1980,424,380,2282,,,,,,
B26H0182,002,15-12-1980,419,375,2287,,,,,,
B26H0182,002,29-12-1980,404,360,2302,,,,,,
B26H0182,002,14-01-1981,383,339,2323,,,,,,
B26H0182,002,28-01-1981,358,314,2348,,,,,,
B26H0182,002,13-02-1981,355,311,2351,,,,,,
B26H0182,002,27-02-1981,360,316,2346,,,,,,
B26H0182,002,13-03-1981,317,273,2389,,,,,,
B26H0182,002,27-03-1981,313,269,2393,,,,,,
B26H0182,002,14-04-1981,322,278,2384,,,,,,
B26H0182,002,28-04-1981,336,292,2370,,,,,,
B26H0182,002,14-05-1981,344,300,2362,,,,,,
B26H0182,002,27-05-1981,356,312,2350,,,,,,
B26H0182,002,15-06-1981,355,311,2351,,,,,,
B26H0182,002,29-06-1981,364,320,2342,,,,,,
B26H0182,002,14-07-1981,362,318,2344,,,,,,
B26H0182,002,28-07-1981,365,321,2341,,,,,,
B26H0182,002,13-08-1981,377,333,2329,,,,,,
B26H0182,002,28-08-1981,387,343,2319,,,,,,
B26H0182,002,14-09-1981,394,350,2312,,,,,,
B26H0182,002,28-09-1981,404,360,2302,,,,,,
B26H0182,002,14-10-1981,409,365,2297,,,,,,
B26H0182,002,28-10-1981,394,350,2312,,,,,,
B26H0182,002,13-11-1981,390,346,2316,,,,,,
B26H0182,002,27-11-1981,385,341,2321,,,,,,
B26H0182,002,28-12-1981,356,312,2350,,,,,,
B26H0182,002,14-01-1982,347,303,2359,,,,,,
B26H0182,002,28-01-1982,355,311,2351,,,,,,
B26H0182,002,15-02-1982,357,313,2349,,,,,,
B26H0182,002,01-03-1982,357,313,2349,,,,,,
B26H0182,002,15-03-1982,358,314,2348,,,,,,
B26H0182,002,29-03-1982,346,302,2360,,,,,,
B26H0182,002,14-04-1982,359,315,2347,,,,,,
B26H0182,002,28-04-1982,363,319,2343,,,,,,
B26H0182,002,14-05-1982,371,327,2335,,,,,,
B26H0182,002,28-05-1982,377,333,2329,,,,,,
B26H0182,002,14-06-1982,383,339,2323,,,,,,
B26H0182,002,28-06-1982,382,338,2324,,,,,,
B26H0182,002,14-07-1982,384,340,2322,,,,,,
B26H0182,002,28-07-1982,391,347,2315,,,,,,
B26H0182,002,16-08-1982,404,360,2302,,,,,,
B26H0182,002,27-08-1982,410,366,2296,,,,,,
B26H0182,002,14-09-1982,420,376,2286,,,,,,
B26H0182,002,28-09-1982,429,385,2277,,,,,,
B26H0182,002,14-10-1982,438,394,2268,,,,,,
B26H0182,002,28-10-1982,443,399,2263,,,,,,
B26H0182,002,15-11-1982,451,407,2255,,,,,,
B26H0182,002,29-11-1982,452,408,2254,,,,,,
B26H0182,002,14-12-1982,450,406,2256,,,,,,
B26H0182,002,28-12-1982,437,393,2269,,,,,,
B26H0182,002,14-01-1983,422,378,2284,,,,,,
B26H0182,002,28-01-1983,426,382,2280,,,,,,
B26H0182,002,14-02-1983,399,355,2307,,,,,,
B26H0182,002,28-02-1983,390,346,2316,,,,,,
B26H0182,002,14-03-1983,397,353,2309,,,,,,
B26H0182,002,28-03-1983,401,357,2305,,,,,,
B26H0182,002,14-04-1983,377,333,2329,,,,,,
B26H0182,002,28-04-1983,370,326,2336,,,,,,
B26H0182,002,16-05-1983,358,314,2348,,,,,,
B26H0182,002,27-05-1983,354,310,2352,,,,,,
B26H0182,002,14-06-1983,336,292,2370,,,,,,
B26H0182,002,28-06-1983,347,303,2359,,,,,,
B26H0182,002,14-07-1983,361,317,2345,,,,,,
B26H0182,002,28-07-1983,370,326,2336,,,,,,
B26H0182,002,15-08-1983,383,339,2323,,,,,,
B26H0182,002,29-08-1983,396,352,2310,,,,,,
B26H0182,002,14-09-1983,405,361,2301,,,,,,
B26H0182,002,28-09-1983,418,374,2288,,,,,,
B26H0182,002,13-10-1983,415,371,2291,,,,,,
B26H0182,002,28-10-1983,427,383,2279,,,,,,
B26H0182,002,14-11-1983,431,387,2275,,,,,,
B26H0182,002,28-11-1983,447,403,2259,,,,,,
B26H0182,002,13-12-1983,413,369,2293,,,,,,
B26H0182,002,28-12-1983,412,368,2294,,,,,,
B26H0182,002,13-01-1984,374,330,2332,,,,,,
B26H0182,002,27-01-1984,342,298,2364,,,,,,
B26H0182,002,14-02-1984,309,265,2397,,,,,,
B26H0182,002,28-02-1984,315,271,2391,,,,,,
B26H0182,002,14-03-1984,326,282,2380,,,,,,
B26H0182,002,28-03-1984,327,283,2379,,,,,,
B26H0182,002,13-04-1984,328,284,2378,,,,,,
B26H0182,002,27-04-1984,349,305,2357,,,,,,
B26H0182,002,14-05-1984,344,300,2362,,,,,,
B26H0182,002,28-05-1984,349,305,2357,,,,,,
B26H0182,002,14-06-1984,345,301,2361,,,,,,
B26H0182,002,28-06-1984,353,309,2353,,,,,,
B26H0182,002,13-07-1984,360,316,2346,,,,,,
B26H0182,002,27-07-1984,354,310,2352,,,,,,
B26H0182,002,14-08-1984,370,326,2336,,,,,,
B26H0182,002,28-08-1984,375,331,2331,,,,,,
B26H0182,002,14-09-1984,385,341,2321,,,,,,
B26H0182,002,28-09-1984,399,355,2307,,,,,,
B26H0182,002,15-10-1984,395,351,2311,,,,,,
B26H0182,002,29-10-1984,385,341,2321,,,,,,
B26H0182,002,14-11-1984,370,326,2336,,,,,,
B26H0182,002,28-11-1984,371,327,2335,,,,,,
B26H0182,002,14-12-1984,366,322,2340,,,,,,
B26H0182,002,28-12-1984,377,333,2329,,,,,,
B26H0182,002,14-01-1985,366,322,2340,,,,,,
B26H0182,002,28-01-1985,368,324,2338,,,,,,
B26H0182,002,14-02-1985,360,316,2346,,,,,,
B26H0182,002,28-02-1985,370,326,2336,,,,,,
B26H0182,002,14-03-1985,375,331,2331,,,,,,
B26H0182,002,28-03-1985,382,338,2324,,,,,,
B26H0182,002,15-04-1985,380,336,2326,,,,,,
B26H0182,002,29-04-1985,357,313,2349,,,,,,
B26H0182,002,13-05-1985,363,319,2343,,,,,,
B26H0182,002,28-05-1985,361,317,2345,,,,,,
B26H0182,002,14-06-1985,369,325,2337,,,,,,
B26H0182,002,28-06-1985,360,316,2346,,,,,,
B26H0182,002,12-07-1985,351,307,2355,,,,,,
B26H0182,002,29-07-1985,373,329,2333,,,,,,
