Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,19-10-2005,tot:,09-03-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0331,001,,161990,474940,23,13-04-2005,13-04-2005,09-03-2017,80,57,-1570,-1670


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0331,001,19-10-2005,109,52,-29,,,,,,
B32E0331,001,20-10-2005,113,56,-33,,,,,,
B32E0331,001,21-10-2005,110,53,-30,,,,,,
B32E0331,001,22-10-2005,112,55,-32,,,,,,
B32E0331,001,23-10-2005,112,55,-32,,,,,,
B32E0331,001,24-10-2005,112,55,-32,,,,,,
B32E0331,001,25-10-2005,111,54,-31,,,,,,
B32E0331,001,26-10-2005,109,52,-29,,,,,,
B32E0331,001,27-10-2005,108,51,-28,,,,,,
B32E0331,001,28-10-2005,108,51,-28,,,,,,
B32E0331,001,29-10-2005,109,52,-29,,,,,,
B32E0331,001,30-10-2005,109,52,-29,,,,,,
B32E0331,001,31-10-2005,109,52,-29,,,,,,
B32E0331,001,01-11-2005,113,56,-33,,,,,,
B32E0331,001,02-11-2005,114,57,-34,,,,,,
B32E0331,001,03-11-2005,116,59,-36,,,,,,
B32E0331,001,04-11-2005,116,59,-36,,,,,,
B32E0331,001,05-11-2005,118,61,-38,,,,,,
B32E0331,001,06-11-2005,118,61,-38,,,,,,
B32E0331,001,07-11-2005,118,61,-38,,,,,,
B32E0331,001,08-11-2005,118,61,-38,,,,,,
B32E0331,001,09-11-2005,118,61,-38,,,,,,
B32E0331,001,10-11-2005,121,64,-41,,,,,,
B32E0331,001,11-11-2005,121,64,-41,,,,,,
B32E0331,001,12-11-2005,119,62,-39,,,,,,
B32E0331,001,13-11-2005,120,63,-40,,,,,,
B32E0331,001,14-11-2005,121,64,-41,,,,,,
B32E0331,001,15-11-2005,121,64,-41,,,,,,
B32E0331,001,16-11-2005,118,61,-38,,,,,,
B32E0331,001,17-11-2005,117,60,-37,,,,,,
