Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,06-04-1973,tot:,08-04-2013,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0063,004,32EP0068,166320,472220,522,24-11-1971,24-11-1971,07-03-1988,637,115,-14780,-14980
B32E0063,004,32EP0068,166320,472220,504,07-03-1988,07-03-1988,14-09-1989,586,82,-14780,-14980
B32E0063,004,32EP0068,166320,472220,522,14-09-1989,14-09-1989,20-03-1990,581,77,-14780,-14980
B32E0063,004,32EP0068,166320,472220,522,14-09-1989,20-03-1990,20-06-1990,575,71,-14780,-14980
B32E0063,004,32EP0068,166320,472220,522,14-09-1989,20-06-1990,01-02-1998,572,68,-14780,-14980
B32E0063,004,32EP0068,166320,472220,522,14-09-1989,01-02-1998,08-04-2013,578,74,-14780,-14980


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0063,004,06-04-1973,-6,-121,643,,,,,,
B32E0063,004,19-04-1973,-7,-122,644,,,,,,
B32E0063,004,07-05-1973,-5,-120,642,,,,,,
B32E0063,004,21-05-1973,2,-113,635,,,,,,
B32E0063,004,01-06-1973,1,-114,636,,,,,,
B32E0063,004,18-06-1973,9,-106,628,,,,,,
B32E0063,004,03-07-1973,12,-103,625,,,,,,
B32E0063,004,17-07-1973,22,-93,615,,,,,,
B32E0063,004,01-08-1973,24,-91,613,,,,,,
B32E0063,004,24-08-1973,30,-85,607,,,,,,
B32E0063,004,03-09-1973,29,-86,608,,,,,,
B32E0063,004,17-09-1973,37,-78,600,,,,,,
B32E0063,004,03-10-1973,30,-85,607,,,,,,
B32E0063,004,16-10-1973,23,-92,614,,,,,,
B32E0063,004,02-11-1973,14,-101,623,,,,,,
B32E0063,004,19-11-1973,10,-105,627,,,,,,
B32E0063,004,17-01-1974,-10,-125,647,,,,,,
B32E0063,004,01-02-1974,-12,-127,649,,,,,,
B32E0063,004,15-02-1974,-11,-126,648,,,,,,
B32E0063,004,01-04-1974,-7,-122,644,,,,,,
B32E0063,004,16-04-1974,3,-112,634,,,,,,
B32E0063,004,01-05-1974,6,-109,631,,,,,,
B32E0063,004,15-05-1974,12,-103,625,,,,,,
B32E0063,004,04-06-1974,19,-96,618,,,,,,
B32E0063,004,17-06-1974,13,-102,624,,,,,,
B32E0063,004,02-07-1974,23,-92,614,,,,,,
B32E0063,004,16-07-1974,16,-99,621,,,,,,
B32E0063,004,02-08-1974,20,-95,617,,,,,,
B32E0063,004,26-08-1974,17,-98,620,,,,,,
B32E0063,004,03-09-1974,23,-92,614,,,,,,
B32E0063,004,26-09-1974,17,-98,620,,,,,,
B32E0063,004,07-10-1974,3,-112,634,,,,,,
B32E0063,004,18-10-1974,6,-109,631,,,,,,
B32E0063,004,18-11-1974,-11,-126,648,,,,,,
