Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,13-03-1987,tot:,21-02-2005,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0300,001,32EP7801,165056,472821,186,17-12-1986,17-12-1986,06-06-1991,231,45,81,31
B32E0300,001,32EP7801,165056,472821,186,17-12-1986,06-06-1991,06-11-2006,211,25,77,27
B32E0300,001,32EP7801,165056,472821,186,17-12-1986,06-11-2006,07-11-2006,209,23,73,23


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0300,001,13-03-1987,38,-7,193,,,,,,
B32E0300,001,30-03-1987,48,3,183,,,,,,
B32E0300,001,15-04-1987,46,1,185,,,,,,
B32E0300,001,29-04-1987,64,19,167,,,,,,
B32E0300,001,14-05-1987,63,18,168,,,,,,
B32E0300,001,28-05-1987,68,23,163,,,,,,
B32E0300,001,14-06-1987,55,10,176,,,,,,
B32E0300,001,28-06-1987,72,27,159,,,,,,
B32E0300,001,14-07-1987,111,66,120,,,,,,
B32E0300,001,28-07-1987,53,8,178,,,,,,
B32E0300,001,14-08-1987,55,10,176,,,,,,
B32E0300,001,28-08-1987,66,21,165,,,,,,
B32E0300,001,14-09-1987,71,26,160,,,,,,
B32E0300,001,28-09-1987,52,7,179,,,,,,
B32E0300,001,14-10-1987,39,-6,192,,,,,,
B32E0300,001,30-10-1987,52,7,179,,,,,,
B32E0300,001,14-11-1987,48,3,183,,,,,,
B32E0300,001,28-11-1987,40,-5,191,,,,,,
B32E0300,001,14-12-1987,52,7,179,,,,,,
B32E0300,001,14-01-1988,44,-1,187,,,,,,
B32E0300,001,28-01-1988,17,-28,214,,,,,,
B32E0300,001,15-02-1988,39,-6,192,,,,,,
B32E0300,001,28-02-1988,,,,N,,,,,
B32E0300,001,14-03-1988,34,-11,197,,,,,,
B32E0300,001,28-03-1988,30,-15,201,,,,,,
B32E0300,001,14-04-1988,54,9,177,,,,,,
B32E0300,001,28-04-1988,71,26,160,,,,,,
B32E0300,001,16-05-1988,90,45,141,,,,,,
B32E0300,001,30-05-1988,112,67,119,,,,,,
B32E0300,001,14-06-1988,114,69,117,,,,,,
B32E0300,001,28-06-1988,122,77,109,,,,,,
B32E0300,001,14-07-1988,94,49,137,,,,,,
B32E0300,001,28-07-1988,79,34,152,,,,,,
B32E0300,001,14-08-1988,,,,N,,,,,
B32E0300,001,28-08-1988,109,64,122,,,,,,
B32E0300,001,14-09-1988,96,51,135,,,,,,
B32E0300,001,28-09-1988,,,,N,,,,,
B32E0300,001,14-10-1988,68,23,163,,,,,,
B32E0300,001,28-10-1988,79,34,152,,,,,,
B32E0300,001,14-11-1988,70,25,161,,,,,,
B32E0300,001,28-11-1988,68,23,163,,,,,,
B32E0300,001,14-12-1988,51,6,180,,,,,,
B32E0300,001,30-12-1988,53,8,178,,,,,,
B32E0300,001,16-01-1989,58,13,173,,,,,,
B32E0300,001,30-01-1989,57,12,174,,,,,,
B32E0300,001,14-02-1989,56,11,175,,,,,,
B32E0300,001,28-02-1989,32,-13,199,,,,,,
B32E0300,001,14-03-1989,39,-6,192,,,,,,
B32E0300,001,30-03-1989,53,8,178,,,,,,
B32E0300,001,14-04-1989,48,3,183,,,,,,
B32E0300,001,28-04-1989,55,10,176,,,,,,
B32E0300,001,15-05-1989,86,41,145,,,,,,
B32E0300,001,31-05-1989,97,52,134,,,,,,
B32E0300,001,14-06-1989,96,51,135,,,,,,
B32E0300,001,28-06-1989,126,81,105,,,,,,
B32E0300,001,14-07-1989,135,90,96,,,,,,
B32E0300,001,27-07-1989,137,92,94,,,,,,
B32E0300,001,14-08-1989,146,101,85,,,,,,
B32E0300,001,25-08-1989,143,98,88,,,,,,
B32E0300,001,14-09-1989,137,92,94,,,,,,
B32E0300,001,27-09-1989,128,83,103,,,,,,
B32E0300,001,13-10-1989,124,79,107,,,,,,
B32E0300,001,30-10-1989,105,60,126,,,,,,
B32E0300,001,14-11-1989,82,37,149,,,,,,
B32E0300,001,30-11-1989,80,35,151,,,,,,
B32E0300,001,14-12-1989,47,2,184,,,,,,
B32E0300,001,28-12-1989,,,,N,,,,,
B32E0300,001,15-01-1990,62,17,169,,,,,,
B32E0300,001,30-01-1990,44,-1,187,,,,,,
B32E0300,001,15-02-1990,31,-14,200,,,,,,
B32E0300,001,28-02-1990,36,-9,195,,,,,,
B32E0300,001,14-03-1990,48,3,183,,,,,,
B32E0300,001,30-03-1990,59,14,172,,,,,,
B32E0300,001,14-05-1990,78,33,153,,,,,,
B32E0300,001,31-05-1990,112,67,119,,,,,,
B32E0300,001,14-06-1990,97,52,134,,,,,,
B32E0300,001,29-06-1990,97,52,134,,,,,,
B32E0300,001,14-07-1990,99,54,132,,,,,,
B32E0300,001,30-07-1990,103,58,128,,,,,,
B32E0300,001,14-08-1990,105,60,126,,,,,,
B32E0300,001,29-08-1990,105,60,126,,,,,,
B32E0300,001,15-09-1990,102,57,129,,,,,,
B32E0300,001,30-09-1990,103,58,128,,,,,,
B32E0300,001,16-10-1990,54,9,177,,,,,,
B32E0300,001,30-10-1990,45,0,186,,,,,,
B32E0300,001,15-12-1990,47,2,184,,,,,,
B32E0300,001,31-12-1990,43,-2,188,,,,,,
B32E0300,001,28-01-1991,,,,N,,,,,
B32E0300,001,14-02-1991,,,,N,,,,,
B32E0300,001,28-02-1991,48,3,183,,,,,,
B32E0300,001,15-03-1991,60,15,171,,,,,,
B32E0300,001,30-03-1991,66,21,165,,,,,,
B32E0300,001,15-04-1991,80,35,151,,,,,,
B32E0300,001,29-04-1991,70,25,161,,,,,,
B32E0300,001,14-05-1991,84,39,147,,,,,,
B32E0300,001,30-05-1991,86,41,145,,,,,,
B32E0300,001,15-06-1991,69,44,142,,,,,,
B32E0300,001,30-06-1991,36,11,175,,,,,,
B32E0300,001,15-07-1991,72,47,139,,,,,,
B32E0300,001,31-07-1991,103,78,108,,,,,,
B32E0300,001,15-08-1991,121,96,90,,,,,,
B32E0300,001,30-08-1991,133,108,78,,,,,,
B32E0300,001,16-09-1991,146,121,65,,,,,,
B32E0300,001,30-09-1991,134,109,77,,,,,,
B32E0300,001,16-10-1991,112,87,99,,,,,,
B32E0300,001,31-10-1991,112,87,99,,,,,,
B32E0300,001,15-11-1991,44,19,167,,,,,,
B32E0300,001,28-11-1991,55,30,156,,,,,,
B32E0300,001,15-12-1991,70,45,141,,,,,,
B32E0300,001,30-12-1991,47,22,164,,,,,,
B32E0300,001,15-01-1992,43,18,168,,,,,,
B32E0300,001,30-01-1992,51,26,160,,,,,,
B32E0300,001,15-02-1992,51,26,160,,,,,,
B32E0300,001,28-02-1992,61,36,150,,,,,,
B32E0300,001,15-03-1992,51,26,160,,,,,,
B32E0300,001,31-03-1992,48,23,163,,,,,,
B32E0300,001,15-04-1992,54,29,157,,,,,,
B32E0300,001,29-04-1992,51,26,160,,,,,,
B32E0300,001,14-05-1992,68,43,143,,,,,,
B32E0300,001,29-05-1992,104,79,107,,,,,,
B32E0300,001,15-06-1992,82,57,129,,,,,,
B32E0300,001,30-06-1992,106,81,105,,,,,,
B32E0300,001,16-07-1992,120,95,91,,,,,,
B32E0300,001,30-07-1992,130,105,81,,,,,,
B32E0300,001,14-08-1992,121,96,90,,,,,,
B32E0300,001,28-08-1992,93,68,118,,,,,,
B32E0300,001,15-09-1992,90,65,121,,,,,,
B32E0300,001,30-09-1992,96,71,115,,,,,,
B32E0300,001,15-10-1992,78,53,133,,,,,,
B32E0300,001,30-10-1992,59,34,152,,,,,,
B32E0300,001,16-11-1992,51,26,160,,,,,,
B32E0300,001,30-11-1992,50,25,161,,,,,,
B32E0300,001,16-12-1992,59,34,152,,,,,,
