Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,26-11-2012,tot:,29-11-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E1095,001,,162205,474126,-28,01-04-2008,01-04-2008,29-11-2017,-10,18,-205,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E1095,001,26-11-2012,68,50,-78,,,,,,
B32E1095,001,27-11-2012,67,49,-77,,,,,,
B32E1095,001,28-11-2012,67,49,-77,,,,,,
B32E1095,001,29-11-2012,68,50,-78,,,,,,
B32E1095,001,30-11-2012,69,51,-79,,,,,,
B32E1095,001,01-12-2012,69,51,-79,,,,,,
B32E1095,001,02-12-2012,68,50,-78,,,,,,
B32E1095,001,03-12-2012,68,50,-78,,,,,,
B32E1095,001,04-12-2012,67,49,-77,,,,,,
B32E1095,001,05-12-2012,69,51,-79,,,,,,
B32E1095,001,06-12-2012,71,53,-81,,,,,,
B32E1095,001,07-12-2012,70,52,-80,,,,,,
B32E1095,001,08-12-2012,74,56,-84,,,,,,
B32E1095,001,09-12-2012,68,50,-78,,,,,,
B32E1095,001,10-12-2012,70,52,-80,,,,,,
B32E1095,001,11-12-2012,72,54,-82,,,,,,
B32E1095,001,12-12-2012,70,52,-80,,,,,,
B32E1095,001,13-12-2012,71,53,-81,,,,,,
B32E1095,001,14-12-2012,69,51,-79,,,,,,
B32E1095,001,15-12-2012,69,51,-79,,,,,,
B32E1095,001,16-12-2012,69,51,-79,,,,,,
B32E1095,001,17-12-2012,68,50,-78,,,,,,
B32E1095,001,18-12-2012,69,51,-79,,,,,,
B32E1095,001,19-12-2012,70,52,-80,,,,,,
B32E1095,001,20-12-2012,67,49,-77,,,,,,
B32E1095,001,21-12-2012,67,49,-77,,,,,,
B32E1095,001,22-12-2012,67,49,-77,,,,,,
B32E1095,001,23-12-2012,65,47,-75,,,,,,
B32E1095,001,24-12-2012,64,46,-74,,,,,,
B32E1095,001,25-12-2012,65,47,-75,,,,,,
B32E1095,001,26-12-2012,63,45,-73,,,,,,
B32E1095,001,27-12-2012,63,45,-73,,,,,,
B32E1095,001,28-12-2012,65,47,-75,,,,,,
B32E1095,001,29-12-2012,63,45,-73,,,,,,
B32E1095,001,30-12-2012,63,45,-73,,,,,,
B32E1095,001,31-12-2012,64,46,-74,,,,,,
B32E1095,001,01-01-2013,62,44,-72,,,,,,
B32E1095,001,02-01-2013,64,46,-74,,,,,,
B32E1095,001,03-01-2013,64,46,-74,,,,,,
B32E1095,001,04-01-2013,64,46,-74,,,,,,
B32E1095,001,05-01-2013,64,46,-74,,,,,,
B32E1095,001,06-01-2013,64,46,-74,,,,,,
B32E1095,001,07-01-2013,64,46,-74,,,,,,
B32E1095,001,08-01-2013,64,46,-74,,,,,,
B32E1095,001,09-01-2013,63,45,-73,,,,,,
B32E1095,001,10-01-2013,63,45,-73,,,,,,
B32E1095,001,11-01-2013,64,46,-74,,,,,,
B32E1095,001,12-01-2013,64,46,-74,,,,,,
B32E1095,001,13-01-2013,65,47,-75,,,,,,
B32E1095,001,14-01-2013,68,50,-78,,,,,,
B32E1095,001,15-01-2013,72,54,-82,,,,,,
B32E1095,001,16-01-2013,76,58,-86,,,,,,
B32E1095,001,17-01-2013,80,62,-90,,,,,,
B32E1095,001,18-01-2013,82,64,-92,,,,,,
B32E1095,001,19-01-2013,83,65,-93,,,,,,
B32E1095,001,20-01-2013,85,67,-95,,,,,,
B32E1095,001,21-01-2013,87,69,-97,,,,,,
B32E1095,001,22-01-2013,91,73,-101,,,,,,
B32E1095,001,23-01-2013,91,73,-101,,,,,,
B32E1095,001,24-01-2013,94,76,-104,,,,,,
B32E1095,001,25-01-2013,97,79,-107,,,,,,
B32E1095,001,26-01-2013,98,80,-108,,,,,,
B32E1095,001,27-01-2013,74,56,-84,,,,,,
B32E1095,001,28-01-2013,69,51,-79,,,,,,
B32E1095,001,29-01-2013,66,48,-76,,,,,,
B32E1095,001,30-01-2013,64,46,-74,,,,,,
B32E1095,001,31-01-2013,66,48,-76,,,,,,
B32E1095,001,01-02-2013,64,46,-74,,,,,,
B32E1095,001,02-02-2013,64,46,-74,,,,,,
B32E1095,001,03-02-2013,66,48,-76,,,,,,
B32E1095,001,04-02-2013,64,46,-74,,,,,,
B32E1095,001,05-02-2013,63,45,-73,,,,,,
B32E1095,001,06-02-2013,60,42,-70,,,,,,
B32E1095,001,07-02-2013,61,43,-71,,,,,,
B32E1095,001,08-02-2013,61,43,-71,,,,,,
B32E1095,001,09-02-2013,64,46,-74,,,,,,
B32E1095,001,10-02-2013,63,45,-73,,,,,,
B32E1095,001,11-02-2013,63,45,-73,,,,,,
B32E1095,001,12-02-2013,65,47,-75,,,,,,
B32E1095,001,13-02-2013,65,47,-75,,,,,,
B32E1095,001,14-02-2013,65,47,-75,,,,,,
B32E1095,001,15-02-2013,65,47,-75,,,,,,
B32E1095,001,16-02-2013,64,46,-74,,,,,,
B32E1095,001,17-02-2013,64,46,-74,,,,,,
B32E1095,001,18-02-2013,64,46,-74,,,,,,
