Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,14-04-1989,tot:,11-07-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32E0206,001,32EL0076,168290,471300,996,02-02-1989,02-02-1989,01-02-1998,1056,60,804,696
B32E0206,001,32EL0076,168290,471300,996,02-02-1989,01-02-1998,11-07-2017,1060,64,804,696


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32E0206,001,14-04-1989,116,56,940,,,,,,
B32E0206,001,28-04-1989,133,73,923,,,,,,
B32E0206,001,16-05-1989,168,108,888,,,,,,
B32E0206,001,29-05-1989,186,126,870,,,,,,
B32E0206,001,14-06-1989,167,107,889,,,,,,
B32E0206,001,27-06-1989,197,137,859,,,,,,
B32E0206,001,14-07-1989,208,148,848,,,,,,
B32E0206,001,14-09-1989,219,159,837,,,,,,
B32E0206,001,28-09-1989,208,148,848,,,,,,
B32E0206,001,13-10-1989,198,138,858,,,,,,
B32E0206,001,27-10-1989,185,125,871,,,,,,
B32E0206,001,14-11-1989,155,95,901,,,,,,
B32E0206,001,28-11-1989,154,94,902,,,,,,
B32E0206,001,14-12-1989,122,62,934,,,,,,
B32E0206,001,27-12-1989,124,64,932,,,,,,
B32E0206,001,15-01-1990,134,74,922,,,,,,
B32E0206,001,29-01-1990,103,43,953,,,,,,
B32E0206,001,14-02-1990,91,31,965,,,,,,
B32E0206,001,28-02-1990,103,43,953,,,,,,
B32E0206,001,14-03-1990,128,68,928,,,,,,
B32E0206,001,28-03-1990,127,67,929,,,,,,
B32E0206,001,12-04-1990,151,91,905,,,,,,
B32E0206,001,27-04-1990,148,88,908,,,,,,
B32E0206,001,14-05-1990,160,100,896,,,,,,
B32E0206,001,28-05-1990,188,128,868,,,,,,
B32E0206,001,14-06-1990,162,102,894,,,,,,
B32E0206,001,28-06-1990,157,97,899,,,,,,
B32E0206,001,16-07-1990,170,110,886,,,,,,
B32E0206,001,27-07-1990,193,133,863,,,,,,
B32E0206,001,27-08-1990,190,130,866,,,,,,
B32E0206,001,13-09-1990,180,120,876,,,,,,
B32E0206,001,27-09-1990,152,92,904,,,,,,
B32E0206,001,15-10-1990,157,97,899,,,,,,
B32E0206,001,29-10-1990,137,77,919,,,,,,
B32E0206,001,14-11-1990,109,49,947,,,,,,
B32E0206,001,28-11-1990,120,60,936,,,,,,
B32E0206,001,13-12-1990,104,44,952,,,,,,
B32E0206,001,27-12-1990,95,35,961,,,,,,
B32E0206,001,14-01-1991,118,58,938,,,,,,
B32E0206,001,28-01-1991,129,69,927,,,,,,
B32E0206,001,14-02-1991,156,96,900,,,,,,
B32E0206,001,28-02-1991,117,57,939,,,,,,
B32E0206,001,14-03-1991,140,80,916,,,,,,
B32E0206,001,28-03-1991,153,93,903,,,,,,
B32E0206,001,15-04-1991,175,115,881,,,,,,
B32E0206,001,29-04-1991,166,106,890,,,,,,
B32E0206,001,14-05-1991,182,122,874,,,,,,
B32E0206,001,28-05-1991,177,117,879,,,,,,
B32E0206,001,14-06-1991,162,102,894,,,,,,
B32E0206,001,28-06-1991,95,35,961,,,,,,
B32E0206,001,12-07-1991,138,78,918,,,,,,
B32E0206,001,26-07-1991,150,90,906,,,,,,
B32E0206,001,14-08-1991,194,134,862,,,,,,
B32E0206,001,28-08-1991,207,147,849,,,,,,
B32E0206,001,13-09-1991,220,160,836,,,,,,
B32E0206,001,27-09-1991,215,155,841,,,,,,
B32E0206,001,14-10-1991,178,118,878,,,,,,
B32E0206,001,29-10-1991,170,110,886,,,,,,
B32E0206,001,14-11-1991,106,46,950,,,,,,
B32E0206,001,28-11-1991,127,67,929,,,,,,
B32E0206,001,13-12-1991,147,87,909,,,,,,
B32E0206,001,30-12-1991,120,60,936,,,,,,
B32E0206,001,14-01-1992,115,55,941,,,,,,
B32E0206,001,28-01-1992,139,79,917,,,,,,
B32E0206,001,14-02-1992,118,58,938,,,,,,
B32E0206,001,28-02-1992,138,78,918,,,,,,
B32E0206,001,13-03-1992,90,30,966,,,,,,
B32E0206,001,30-03-1992,115,55,941,,,,,,
B32E0206,001,13-04-1992,146,86,910,,,,,,
B32E0206,001,28-04-1992,133,73,923,,,,,,
B32E0206,001,14-05-1992,142,82,914,,,,,,
B32E0206,001,27-05-1992,183,123,873,,,,,,
B32E0206,001,15-06-1992,155,95,901,,,,,,
B32E0206,001,29-06-1992,183,123,873,,,,,,
B32E0206,001,13-07-1992,199,139,857,,,,,,
B32E0206,001,28-07-1992,205,145,851,,,,,,
B32E0206,001,17-08-1992,174,114,882,,,,,,
