Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,27-04-1962,tot:,11-07-2017,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32F0171,001,32FP0008,170934,472019,1900,21-06-1959,21-06-1959,11-07-2017,1948,48,1258,1158


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32F0171,001,27-04-1962,383,335,1565,,,,,,
B32F0171,001,06-09-1962,431,383,1517,,,,,,
B32F0171,001,29-10-1962,457,409,1491,,,,,,
B32F0171,001,18-12-1962,478,430,1470,,,,,,
B32F0171,001,26-04-1963,476,428,1472,,,,,,
B32F0171,001,29-08-1963,510,462,1438,,,,,,
B32F0171,001,17-10-1963,478,430,1470,,,,,,
B32F0171,001,17-12-1963,460,412,1488,,,,,,
B32F0171,001,01-05-1964,497,449,1451,,,,,,
B32F0171,001,26-08-1964,561,513,1387,,,,,,
B32F0171,001,14-10-1964,573,525,1375,,,,,,
B32F0171,001,14-12-1964,584,536,1364,,,,,,
B32F0171,001,26-04-1965,542,494,1406,,,,,,
B32F0171,001,02-09-1965,522,474,1426,,,,,,
B32F0171,001,14-10-1965,510,462,1438,,,,,,
B32F0171,001,15-12-1965,520,472,1428,,,,,,
B32F0171,001,16-02-1966,434,386,1514,,,,,,
B32F0171,001,03-05-1966,396,348,1552,,,,,,
B32F0171,001,29-08-1966,411,363,1537,,,,,,
B32F0171,001,13-10-1966,447,399,1501,,,,,,
B32F0171,001,13-12-1966,448,400,1500,,,,,,
B32F0171,001,02-05-1967,414,366,1534,,,,,,
B32F0171,001,30-08-1967,498,450,1450,,,,,,
B32F0171,001,13-10-1967,522,474,1426,,,,,,
B32F0171,001,15-12-1967,519,471,1429,,,,,,
B32F0171,001,14-03-1968,463,415,1485,,,,,,
B32F0171,001,28-03-1968,472,424,1476,,,,,,
B32F0171,001,16-04-1968,480,432,1468,,,,,,
B32F0171,001,29-04-1968,488,440,1460,,,,,,
B32F0171,001,14-05-1968,497,449,1451,,,,,,
B32F0171,001,28-05-1968,500,452,1448,,,,,,
B32F0171,001,14-06-1968,508,460,1440,,,,,,
B32F0171,001,28-06-1968,514,466,1434,,,,,,
