Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-12-2017,,,,,,,,
Gegevens beschikbaar:,28-08-1991,tot:,23-01-2013,,,,,,,,
Datum: ,18-12-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32F0134,001,32FP0134,170390,472570,1757,12-06-1991,12-07-1991,23-01-2013,1817,60,655,555


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32F0134,001,28-08-1991,651,591,1166,,,,,,
B32F0134,001,14-10-1991,664,604,1153,,,,,,
B32F0134,001,13-12-1991,668,608,1149,,,,,,
B32F0134,001,28-04-1992,635,575,1182,,,,,,
B32F0134,001,28-08-1992,636,576,1181,,,,,,
B32F0134,001,14-10-1992,641,581,1176,,,,,,
B32F0134,001,14-12-1992,624,564,1193,,,,,,
B32F0134,001,28-04-1993,580,520,1237,,,,,,
B32F0134,001,27-08-1993,591,531,1226,,,,,,
B32F0134,001,14-10-1993,583,523,1234,,,,,,
B32F0134,001,14-12-1993,562,502,1255,,,,,,
B32F0134,001,14-04-1994,461,401,1356,,,,,,
B32F0134,001,29-08-1994,509,449,1308,,,,,,
B32F0134,001,14-10-1994,515,455,1302,,,,,,
B32F0134,001,14-12-1994,504,444,1313,,,,,,
B32F0134,001,28-04-1995,420,360,1397,,,,,,
B32F0134,001,29-08-1995,483,423,1334,,,,,,
B32F0134,001,16-10-1995,512,452,1305,,,,,,
B32F0134,001,15-12-1995,544,484,1273,,,,,,
B32F0134,001,29-04-1996,589,529,1228,,,,,,
B32F0134,001,28-08-1996,622,562,1195,,,,,,
B32F0134,001,11-10-1996,637,577,1180,,,,,,
B32F0134,001,29-08-1997,617,557,1200,,,,,,
B32F0134,001,14-10-1997,625,565,1192,,,,,,
B32F0134,001,15-12-1997,634,574,1183,,,,,,
B32F0134,001,28-04-1998,574,514,1243,,,,,,
B32F0134,001,28-08-1998,586,526,1231,,,,,,
B32F0134,001,14-10-1998,571,511,1246,,,,,,
B32F0134,001,14-12-1998,510,450,1307,,,,,,
B32F0134,001,15-03-1999,477,417,1340,,,,,,
B32F0134,001,14-06-1999,491,431,1326,,,,,,
B32F0134,001,13-08-1999,522,462,1295,,,,,,
B32F0134,001,14-10-1999,549,489,1268,,,,,,
B32F0134,001,14-12-1999,572,512,1245,,,,,,
B32F0134,001,28-04-2000,510,450,1307,,,,,,
B32F0134,001,28-08-2000,556,496,1261,,,,,,
B32F0134,001,13-10-2000,571,511,1246,,,,,,
B32F0134,001,14-12-2000,563,503,1254,,,,,,
B32F0134,001,28-08-2001,545,485,1272,,,,,,
B32F0134,001,15-10-2001,551,491,1266,,,,,,
B32F0134,001,14-12-2001,505,445,1312,,,,,,
B32F0134,001,01-05-2002,485,425,1332,,,,,,
B32F0134,001,28-08-2002,510,450,1307,,,,,,
B32F0134,001,15-10-2002,530,470,1287,,,,,,
B32F0134,001,16-12-2002,538,478,1279,,,,,,
B32F0134,001,15-01-2003,,,,N,,,,,
B32F0134,001,28-01-2003,,,,N,,,,,
B32F0134,001,13-02-2003,,,,N,,,,,
B32F0134,001,27-02-2003,,,,N,,,,,
B32F0134,001,17-03-2003,,,,N,,,,,
B32F0134,001,27-03-2003,,,,N,,,,,
B32F0134,001,16-04-2003,,,,N,,,,,
B32F0134,001,29-04-2003,511,451,1306,,,,,,
B32F0134,001,13-05-2003,,,,N,,,,,
B32F0134,001,27-05-2003,,,,N,,,,,
B32F0134,001,16-06-2003,,,,N,,,,,
B32F0134,001,27-06-2003,,,,N,,,,,
B32F0134,001,14-07-2003,,,,N,,,,,
B32F0134,001,30-07-2003,,,,N,,,,,
B32F0134,001,14-08-2003,,,,N,,,,,
B32F0134,001,28-08-2003,562,502,1255,,,,,,
B32F0134,001,29-09-2003,,,,N,,,,,
B32F0134,001,06-10-2003,579,519,1238,,,,,,
B32F0134,001,07-10-2003,580,520,1237,,,,,,
B32F0134,001,08-10-2003,581,521,1236,,,,,,
B32F0134,001,09-10-2003,582,522,1235,,,,,,
B32F0134,001,10-10-2003,581,521,1236,,,,,,
B32F0134,001,11-10-2003,583,523,1234,,,,,,
B32F0134,001,12-10-2003,582,522,1235,,,,,,
B32F0134,001,13-10-2003,584,524,1233,,,,,,
B32F0134,001,14-10-2003,584,524,1233,,,,,,
B32F0134,001,15-10-2003,585,525,1232,,,,,,
B32F0134,001,16-10-2003,585,525,1232,,,,,,
B32F0134,001,17-10-2003,585,525,1232,,,,,,
B32F0134,001,18-10-2003,586,526,1231,,,,,,
B32F0134,001,19-10-2003,586,526,1231,,,,,,
B32F0134,001,20-10-2003,587,527,1230,,,,,,
B32F0134,001,21-10-2003,588,528,1229,,,,,,
B32F0134,001,22-10-2003,588,528,1229,,,,,,
B32F0134,001,23-10-2003,589,529,1228,,,,,,
B32F0134,001,24-10-2003,589,529,1228,,,,,,
B32F0134,001,25-10-2003,587,527,1230,,,,,,
B32F0134,001,26-10-2003,588,528,1229,,,,,,
B32F0134,001,27-10-2003,589,529,1228,,,,,,
B32F0134,001,28-10-2003,588,528,1229,,,,,,
B32F0134,001,29-10-2003,588,528,1229,,,,,,
B32F0134,001,30-10-2003,591,531,1226,,,,,,
B32F0134,001,31-10-2003,590,530,1227,,,,,,
B32F0134,001,01-11-2003,591,531,1226,,,,,,
B32F0134,001,02-11-2003,593,533,1224,,,,,,
B32F0134,001,03-11-2003,594,534,1223,,,,,,
B32F0134,001,04-11-2003,593,533,1224,,,,,,
B32F0134,001,05-11-2003,593,533,1224,,,,,,
B32F0134,001,06-11-2003,595,535,1222,,,,,,
B32F0134,001,07-11-2003,594,534,1223,,,,,,
B32F0134,001,08-11-2003,594,534,1223,,,,,,
B32F0134,001,09-11-2003,594,534,1223,,,,,,
B32F0134,001,10-11-2003,596,536,1221,,,,,,
B32F0134,001,11-11-2003,595,535,1222,,,,,,
B32F0134,001,12-11-2003,596,536,1221,,,,,,
B32F0134,001,13-11-2003,597,537,1220,,,,,,
B32F0134,001,14-11-2003,597,537,1220,,,,,,
B32F0134,001,15-11-2003,597,537,1220,,,,,,
B32F0134,001,16-11-2003,597,537,1220,,,,,,
B32F0134,001,17-11-2003,597,537,1220,,,,,,
B32F0134,001,18-11-2003,600,540,1217,,,,,,
B32F0134,001,19-11-2003,600,540,1217,,,,,,
B32F0134,001,20-11-2003,601,541,1216,,,,,,
B32F0134,001,21-11-2003,601,541,1216,,,,,,
B32F0134,001,22-11-2003,600,540,1217,,,,,,
B32F0134,001,23-11-2003,601,541,1216,,,,,,
B32F0134,001,24-11-2003,601,541,1216,,,,,,
B32F0134,001,25-11-2003,601,541,1216,,,,,,
B32F0134,001,26-11-2003,601,541,1216,,,,,,
B32F0134,001,27-11-2003,602,542,1215,,,,,,
B32F0134,001,28-11-2003,602,542,1215,,,,,,
B32F0134,001,29-11-2003,602,542,1215,,,,,,
B32F0134,001,30-11-2003,603,543,1214,,,,,,
B32F0134,001,01-12-2003,604,544,1213,,,,,,
B32F0134,001,02-12-2003,603,543,1214,,,,,,
B32F0134,001,03-12-2003,605,545,1212,,,,,,
B32F0134,001,04-12-2003,604,544,1213,,,,,,
B32F0134,001,05-12-2003,605,545,1212,,,,,,
B32F0134,001,06-12-2003,605,545,1212,,,,,,
B32F0134,001,07-12-2003,606,546,1211,,,,,,
B32F0134,001,08-12-2003,605,545,1212,,,,,,
B32F0134,001,09-12-2003,606,546,1211,,,,,,
B32F0134,001,10-12-2003,606,546,1211,,,,,,
B32F0134,001,11-12-2003,607,547,1210,,,,,,
B32F0134,001,12-12-2003,608,548,1209,,,,,,
B32F0134,001,13-12-2003,609,549,1208,,,,,,
B32F0134,001,14-12-2003,608,548,1209,,,,,,
B32F0134,001,15-12-2003,608,548,1209,,,,,,
B32F0134,001,16-12-2003,608,548,1209,,,,,,
B32F0134,001,17-12-2003,609,549,1208,,,,,,
B32F0134,001,18-12-2003,609,549,1208,,,,,,
B32F0134,001,19-12-2003,609,549,1208,,,,,,
B32F0134,001,20-12-2003,610,550,1207,,,,,,
B32F0134,001,21-12-2003,609,549,1208,,,,,,
B32F0134,001,22-12-2003,609,549,1208,,,,,,
B32F0134,001,23-12-2003,610,550,1207,,,,,,
B32F0134,001,24-12-2003,611,551,1206,,,,,,
B32F0134,001,25-12-2003,611,551,1206,,,,,,
B32F0134,001,26-12-2003,609,549,1208,,,,,,
B32F0134,001,27-12-2003,610,550,1207,,,,,,
B32F0134,001,28-12-2003,609,549,1208,,,,,,
B32F0134,001,29-12-2003,610,550,1207,,,,,,
B32F0134,001,30-12-2003,610,550,1207,,,,,,
B32F0134,001,31-12-2003,612,552,1205,,,,,,
B32F0134,001,01-01-2004,609,549,1208,,,,,,
B32F0134,001,02-01-2004,610,550,1207,,,,,,
B32F0134,001,03-01-2004,609,549,1208,,,,,,
B32F0134,001,04-01-2004,608,548,1209,,,,,,
B32F0134,001,05-01-2004,607,547,1210,,,,,,
B32F0134,001,06-01-2004,609,549,1208,,,,,,
B32F0134,001,07-01-2004,609,549,1208,,,,,,
B32F0134,001,08-01-2004,606,546,1211,,,,,,
B32F0134,001,09-01-2004,605,545,1212,,,,,,
B32F0134,001,10-01-2004,604,544,1213,,,,,,
B32F0134,001,11-01-2004,604,544,1213,,,,,,
B32F0134,001,12-01-2004,604,544,1213,,,,,,
B32F0134,001,13-01-2004,604,544,1213,,,,,,
B32F0134,001,14-01-2004,605,545,1212,,,,,,
B32F0134,001,15-01-2004,604,544,1213,,,,,,
B32F0134,001,16-01-2004,603,543,1214,,,,,,
B32F0134,001,17-01-2004,601,541,1216,,,,,,
B32F0134,001,18-01-2004,601,541,1216,,,,,,
B32F0134,001,19-01-2004,601,541,1216,,,,,,
B32F0134,001,20-01-2004,600,540,1217,,,,,,
B32F0134,001,21-01-2004,599,539,1218,,,,,,
B32F0134,001,22-01-2004,597,537,1220,,,,,,
B32F0134,001,23-01-2004,597,537,1220,,,,,,
B32F0134,001,24-01-2004,595,535,1222,,,,,,
B32F0134,001,25-01-2004,593,533,1224,,,,,,
B32F0134,001,26-01-2004,591,531,1226,,,,,,
B32F0134,001,27-01-2004,589,529,1228,,,,,,
B32F0134,001,28-01-2004,587,527,1230,,,,,,
B32F0134,001,29-01-2004,587,527,1230,,,,,,
B32F0134,001,30-01-2004,584,524,1233,,,,,,
B32F0134,001,31-01-2004,583,523,1234,,,,,,
B32F0134,001,01-02-2004,583,523,1234,,,,,,
B32F0134,001,02-02-2004,580,520,1237,,,,,,
B32F0134,001,03-02-2004,579,519,1238,,,,,,
B32F0134,001,04-02-2004,578,518,1239,,,,,,
B32F0134,001,05-02-2004,575,515,1242,,,,,,
B32F0134,001,06-02-2004,572,512,1245,,,,,,
B32F0134,001,07-02-2004,572,512,1245,,,,,,
B32F0134,001,08-02-2004,570,510,1247,,,,,,
B32F0134,001,09-02-2004,568,508,1249,,,,,,
B32F0134,001,10-02-2004,568,508,1249,,,,,,
B32F0134,001,11-02-2004,566,506,1251,,,,,,
B32F0134,001,12-02-2004,563,503,1254,,,,,,
B32F0134,001,13-02-2004,562,502,1255,,,,,,
B32F0134,001,14-02-2004,560,500,1257,,,,,,
B32F0134,001,15-02-2004,557,497,1260,,,,,,
B32F0134,001,16-02-2004,557,497,1260,,,,,,
B32F0134,001,17-02-2004,555,495,1262,,,,,,
B32F0134,001,18-02-2004,553,493,1264,,,,,,
B32F0134,001,19-02-2004,552,492,1265,,,,,,
B32F0134,001,20-02-2004,550,490,1267,,,,,,
B32F0134,001,21-02-2004,550,490,1267,,,,,,
B32F0134,001,22-02-2004,549,489,1268,,,,,,
B32F0134,001,23-02-2004,548,488,1269,,,,,,
B32F0134,001,24-02-2004,547,487,1270,,,,,,
B32F0134,001,25-02-2004,546,486,1271,,,,,,
B32F0134,001,26-02-2004,544,484,1273,,,,,,
B32F0134,001,27-02-2004,542,482,1275,,,,,,
B32F0134,001,28-02-2004,543,483,1274,,,,,,
B32F0134,001,29-02-2004,540,480,1277,,,,,,
B32F0134,001,01-03-2004,540,480,1277,,,,,,
B32F0134,001,02-03-2004,540,480,1277,,,,,,
B32F0134,001,03-03-2004,540,480,1277,,,,,,
B32F0134,001,04-03-2004,540,480,1277,,,,,,
B32F0134,001,05-03-2004,539,479,1278,,,,,,
B32F0134,001,06-03-2004,539,479,1278,,,,,,
B32F0134,001,07-03-2004,538,478,1279,,,,,,
B32F0134,001,08-03-2004,538,478,1279,,,,,,
B32F0134,001,09-03-2004,538,478,1279,,,,,,
B32F0134,001,10-03-2004,537,477,1280,,,,,,
B32F0134,001,11-03-2004,537,477,1280,,,,,,
B32F0134,001,12-03-2004,536,476,1281,,,,,,
B32F0134,001,13-03-2004,538,478,1279,,,,,,
