"STN","STARTT","STOPT","LOCATIE","STN_HOOGTE","STN_POS_X","STN_POS_Y","STN_POS_NB","STN_POS_OL"
567,19230104,99991231,"Kootwijk radio",44,185.1,465.0,52.1,5.8
569,19690101,99991231,"Heumen",10.3,186.2,419.8,51.7,5.8
570,19270616,99991231,"Elspeet",28.54,181.8,478.7,52.2,5.7
571,19270618,99991231,"Harskamp",22.48,178.4,462.5,52.1,5.7
572,19300902,99991231,"Abcoude",-1.7,127.1,474.7,52.2,4.9
573,18731202,99991231,"Beekbergen",25,194.0,464.0,52.1,5.9
576,19460902,99991231,"Spakenburg",-0.41,154.4,473.4,52.2,5.3
578,19470102,99991231,"Oosterbeek",37.71,185.2,447.4,52.0,5.8
579,19481202,99991231,"Veenendaal",6.4,168.8,448.6,52.0,5.5
580,19500102,99991231,"Barneveld",9.9,167.2,461.3,52.1,5.5
582,19491019,99991231,"Hamersveld",2.2,158.5,461.9,52.1,5.4
583,19490402,99991231,"Wageningen PD",8.6,173.3,444.5,51.9,5.6
584,19500502,99991231,"Geldermalsen",2.8,147.0,431.5,51.8,5.2
588,19530201,99991231,"Duiven",10.5,198.9,440.6,51.9,6.0
589,19531101,99991231,"Zetten",7.8,176.8,438.7,51.9,5.7
591,19710101,99991231,"Deelen",75,190.1,453.5,52.0,5.9
593,19510101,99991231,"Laren",4.6,144.0,473.0,52.2,5.2
595,18890602,99991231,"Soest",4.06,150.6,463.6,52.1,5.3
596,19961101,99991231,"Eemnes",0,147.4,476.3,52.2,5.2
645,19930901,99991231,"Hengelo",10.7,217.7,453.6,52.0,6.3
663,18660802,99991231,"Lochem",11.8,222.6,463.2,52.1,6.3
664,18800802,99991231,"Almelo",12.5,242.2,485.1,52.3,6.6
665,18800502,99991231,"Enschede",54.5,260.1,468.4,52.1,6.9
666,18800702,99991231,"Winterswijk Sibinkweg",28.8,243.7,442.2,51.9,6.6
667,18830303,99991231,"Doetinchem",11,216.8,445.0,51.9,6.2
668,18870102,99991231,"Hengelo,(O)",15.4,248.7,476.2,52.2,6.7
669,18900802,99991231,"Borculo",16.95,233.4,456.5,52.0,6.5
670,19371102,99991231,"Twenthe",43.09,258.9,475.2,52.2,6.9
672,19400302,99991231,"Hellendoorn",10,227.3,489.3,52.3,6.4
673,19411202,99991231,"Gendringen",15.4,222.4,431.3,51.8,6.3
674,19420602,99991231,"Rekken",25.8,246.5,456.8,52.0,6.7
675,19430115,99991231,"Weerselo",19.4,255.7,485.9,52.3,6.8
678,19500302,99991231,"Almen",10.1,218.4,463.4,52.1,6.3
679,19510101,99991231,"Herwen",12.7,204.1,432.5,51.8,6.1
680,19040802,99991231,"Aalten",23.39,236.2,436.5,51.9,6.5
681,19450924,99991231,"Lettele",8.1,215.4,476.2,52.2,6.2
682,19560101,99991231,"Markelo",16.9,230.1,473.0,52.2,6.4
683,19570101,99991231,"Lichtenvoorde",19.5,235.6,446.0,51.9,6.5
684,19800101,99991231,"Lievelde",30.72,241.1,447.0,52.0,6.6
686,19800101,99991231,"Woold",48.5,247.8,437.5,51.9,6.7
687,19950501,99991231,"Holten",21.6,228.2,480.6,52.3,6.4
688,19950601,99991231,"Hupsel",26.53,240.8,453.8,52.0,6.6
689,20060201,99991231,"Deventer",6.75,211.6,474.5,52.2,6.2
705,19610101,99991231,"Breskens",1.74,26.8,380.1,51.3,3.5
735,18681102,99991231,"Kapelle",3.31,55.1,389.0,51.4,3.9
736,18731202,99991231,"Brouwershaven",-1.3,51.1,417.1,51.7,3.8
737,18780401,99991231,"Kerkwerve",-1.5,49.1,411.1,51.6,3.8
738,18790902,99991231,"Biervliet",2.1,36.5,372.6,51.3,3.6
740,18790920,99991231,"St Kruis",1.93,23.0,366.4,51.2,3.4
741,18790902,99991231,"Stavenisse",1.6,60.2,400.9,51.5,4.0
742,18790902,99991231,"Terneuzen",1.84,48.6,369.4,51.3,3.8
743,18880502,99991231,"Noordgouwe",-0.8,56.6,413.0,51.6,3.9
744,19040402,99991231,"Anna,Jacoba,Polder",1,67.5,406.3,51.6,4.1
746,19041015,99991231,"Westkapelle",3.04,20.0,395.4,51.5,3.4
747,19050507,99991231,"Krabbendijke",1.8,65.1,384.3,51.4,4.0
749,19220502,99991231,"Wilhelminadorp",1.8,51.3,394.4,51.5,3.8
750,19250602,99991231,"Rilland",1.3,71.0,382.0,51.4,4.1
751,19270102,99991231,"Vrouwenpolder",16.2,30.0,401.2,51.5,3.5
752,19351202,99991231,"Haamstede",4.34,39.0,410.8,51.6,3.7
754,19350802,99991231,"Ovezande",1.1,46.0,382.9,51.4,3.8
755,19370521,99991231,"Kortgene",0.53,46.4,398.2,51.5,3.8
756,19401025,99991231,"Middelburg",-1,30.2,389.4,51.4,3.5
757,19420725,99991231,"Tholen",-1.36,73.8,393.9,51.5,4.2
758,19460514,99991231,"Wolphaartsdijk",0.6,41.7,394.5,51.5,3.7
760,19500902,99991231,"Des Heerenhoek",1.2,42.6,388.0,51.4,3.7
761,19510101,99991231,"Philippine",1.95,40.7,368.4,51.2,3.7
762,19530101,99991231,"Schoondijke",1.89,27.0,375.9,51.3,3.5
763,19510101,99991231,"Cadzand",1.04,17.5,375.8,51.3,3.4
764,19530301,99991231,"Kloosterzande",1.28,60.3,377.8,51.3,4.0
767,19580101,99991231,"Kapellebrug",2.53,61.1,363.5,51.2,4.0
770,19950601,99991231,"Westdorpe",2,48.4,359.7,51.2,3.8
827,18770202,99991231,"Tilburg",11.1,136.8,396.9,51.5,5.1
828,18880201,99991231,"Oudenbosch",2.2,95.3,398.7,51.5,4.5
829,18880402,99991231,"Zundert",7.6,105.4,387.0,51.4,4.6
830,18901002,99991231,"Herwijnen",1.1,137.6,426.2,51.8,5.1
831,19030303,99991231,"Esbeek",22.53,136.9,385.1,51.4,5.1
832,19040102,99991231,"Bergen,op,Zoom",4.36,76.0,391.3,51.5,4.2
833,19050102,99991231,"Oosterhout",4.7,119.3,405.8,51.6,4.8
834,19110902,99991231,"Chaam",11.8,119.1,390.9,51.5,4.8
835,19120224,99991231,"Andel",1.4,132.0,421.5,51.7,5.0
836,19121109,99991231,"Gorinchem",0.9,127.1,428.3,51.8,4.9
837,19200302,99991231,"Steenbergen,(NB)",-0.2,83.4,400.8,51.5,4.3
838,19240713,99991231,"Ginneken",5.8,109.6,395.7,51.5,4.7
839,19330714,99991231,"Hoogerheide",1.17,78.6,382.5,51.4,4.2
840,19350402,99991231,"Nieuwendijk,(NB)",-0.5,122.7,419.6,51.7,4.9
841,19410825,99991231,"Klundert",1,95.3,408.7,51.6,4.5
843,19490102,99991231,"Gilze-Rijen",14.3,122.9,396.3,51.5,4.9
844,19510101,99991231,"Capelle NB",1,127.0,409.8,51.6,4.9
883,19140816,99991231,"Sevenum",30,198.0,378.4,51.3,6.0
